id,案件名称,来源类型,来源作品/事件,作者/创作者,地区,年代,案件状态,一句话简介,录入状态,难度综合
case-057,AI：梦境档案,游戏,AI：梦境档案,,日本,当代（1980后）,已破案,近未来东京，失去左眼的刑警用AI搭档潜入嫌疑人梦境，调查连环杀人案的真相。,待录入,4.5
ever17-the-out-of-infinity,Ever17,游戏,,,日本,2002,已完结,海底主题公园的被困事件，两个视角的故事最终揭开时间与身份的惊天诡计。,初稿,3
remember11-the-age-of-infinity,Remember11,游戏,,,日本,2004,已完结,坠机幸存者与精神科患者的人格交换，时间与空间的诡计直到最后才揭晓。,初稿,3
case-045,人狼村之谜,游戏,人狼村之谜,,日本,当代（1980后）,已破案,大学生房石阳明误入一个与世隔绝的村庄，被卷入一场基于人狼游戏的死亡仪式，必须在轮回中找出真相。,待录入,4.8
case-142,命运石之门,游戏,游戏《命运石之门》,5pb.,日本,2009年,已破案,大学生冈部伦太郎发明了可以向过去发送短信的'电话微波炉'，他和朋友们的实验导致了时间线的混乱，他必须在无数次时间跳跃中拯救他的朋友牧濑红莉栖和椎名真由理。,故事完成,5.0
case-154,大逆转裁判,游戏,游戏《大逆转裁判》,卡普空,日本,2015年,已破案,19世纪末的明治时代，日本律师成步堂龙之介（成步堂龙一的祖先）来到英国伦敦，与福尔摩斯（游戏中名为'福尔摩斯'的角色）一起调查案件。游戏通过'共同推理'系统让玩家与福尔摩斯一起推理。,故事完成,5.0
higurashi-when-they-cry,寒蝉鸣泣之时,游戏,,,日本,2002,已完结,雏见泽村的连续怪死事件，多个篇章的谜团最终在解答篇中揭开。,初稿,3
case-043,弹丸论破,游戏,弹丸论破：希望的学园与绝望的高中生,,日本,当代（1980后）,已破案,15名超高校级学生被困在希望峰学园，黑白熊强迫他们互相残杀，只有在学级裁判中找出凶手才能毕业。,待录入,4.8
case-139,弹丸论破2：再见绝望学园,游戏,游戏《超级弹丸论破2》,Spike Chunsoft,日本,2012年,已破案,16名学生被带到贾巴沃克岛进行'修学旅行'，但黑白熊出现并开始了'自相残杀的修学旅行'——如果有人杀了人且不被发现，就能毕业离开。日向创作为主角，在每一起谋杀案后进行学级裁判，找出真凶。,故事完成,5.0
case-155,弹丸论破V3,游戏,游戏《新弹丸论破V3》,Spike Chunsoft,日本,2017年,已破案,16名超高校级学生被带到一个'才囚学园'，被迫参加自相残杀的游戏。主角最原终一在每起谋杀案后进行学级裁判找出真凶。最后发现整个游戏是一个虚构的电视节目，而'真相'本身也是被设计好的。,故事完成,5.0
case-152,恐怖惊魂夜,游戏,游戏《恐怖惊魂夜》,Chunsoft,日本,1994年,已破案,11个人在一个雪山旅馆里度过一个恐怖的夜晚，一个接一个地被杀害。玩家通过选择分支来推进故事，需要找出真凶才能到达真结局。这是日本有声小说游戏的经典之作。,故事完成,5.0
case-044,极限脱出,游戏,极限脱出：9小时9个人9之门,,日本,当代（1980后）,已破案,9个人被困在一艘沉没的船上，必须在9小时内解开9扇门的谜题，否则会被淹死，真相比想象的更复杂。,待录入,4.8
case-140,极限脱出2：善人死亡,游戏,游戏《极限脱出ADV 善人死亡》,Chunsoft,日本,2012年,已破案,9个人被绑架到一个废弃的太空站，被迫参加'非人性游戏'——通过投票决定谁能活下来。主角西格玛在调查中发现，这个游戏实际上是一个为了拯救人类未来而设计的复杂实验。,故事完成,5.0
case-156,极限脱出：9小时9个人9扇门,游戏,游戏《极限脱出 9小时9个人9扇门》,Chunsoft,日本,2009年,已破案,9个人被绑架到一个类似泰坦尼克号的船上，被迫参加'非人性游戏'——他们需要在9小时内找到9扇门，否则船就会沉没。主角淳平通过调查发现，这个游戏与9年前的一场实验有关，而真凶就在他们之中。,故事完成,5.0
umineko-when-they-cry,海猫鸣泣之时,游戏,,,日本,2007,已完结,六轩岛上的连环杀人案，魔女与人类的推理对决，真相在棋盘之外。,初稿,3
case-153,逆转检事,游戏,游戏《逆转检事》,卡普空,日本,2009年,已破案,检察官御剑怜侍在调查一起案件时，发现自己被卷入了一个巨大的国际走私阴谋。他通过'逻辑'系统（将两个线索连接起来得出新结论）来调查案件，最后揭露了走私集团的幕后黑手。,故事完成,5.0
case-005,逆转裁判1-2：逆转姐妹,游戏,逆转裁判,,日本,当代（1980后）,已破案,灵媒师姐妹被卷入谋杀案，律师成步堂龙一在法庭上揭穿利用灵媒制造的不在场证明。,完整,3.0
case-138,逆转裁判2：再见，逆转,游戏,游戏《逆转裁判2》,卡普空,日本,2002年,已破案,成步堂龙一为谋杀嫌疑人王都楼真悟辩护，受害者是著名演员藤见野勋。随着调查深入，成步堂发现真凶是王都楼的经纪人华宫雾绪，而整个案件背后隐藏着一年前的另一起谋杀案。,故事完成,5.0
case-042,逆转裁判3,游戏,逆转裁判3,,日本,当代（1980后）,已破案,成步堂龙一的最终章，揭示了绫里家族的秘密和DL-6号事件的完整真相，美柳千奈美的复仇贯穿始终。,待录入,4.7
case-150,万众狂欢,游戏,游戏《万众狂欢》,The Chinese Room,欧美,2015年,已破案,一个英国乡村小镇的所有居民都神秘消失了。玩家通过探索小镇、收听广播和电话留言，逐渐拼凑出居民消失的真相——这与一个神秘的'光'有关，它可能是外星生命、超自然现象或科学实验的产物。,故事完成,5.0
case-146,与狼同行,游戏,游戏《与狼同行》,Telltale Games,欧美,2013年,已破案,童话镇的治安官毕格比·沃尔夫（大灰狼）调查一起残忍的谋杀案，受害者是一个童话人物。随着调查深入，他发现这起谋杀案背后隐藏着一个涉及童话镇权力斗争的巨大阴谋。,故事完成,5.0
case-149,伊森卡特的消失,游戏,游戏《伊森卡特的消失》,The Astronauts,欧美,2014年,已破案,拥有超自然能力的侦探保罗·普罗斯佩罗来到一个偏远的小镇，调查一个名叫伊森·卡特的男孩的失踪案。他逐渐发现，这个小镇隐藏着一个涉及古老邪教、血腥仪式和家族秘密的黑暗故事。,故事完成,5.0
case-151,塔科马,游戏,游戏《塔科马》,Fullbright,欧美,2017年,已破案,2088年，一个名叫艾米丽的审计员来到一个废弃的太空站'塔科马'，调查太空站 crew 的神秘失踪。她通过回放太空站的AI记录的增强现实场景，逐渐了解到 crew 们的生活、关系和失踪的真相。,故事完成,5.0
case-145,奇异人生,游戏,游戏《奇异人生》,Dontnod Entertainment,欧美,2015年,已破案,女大学生麦克斯·考菲尔德发现自己拥有逆转时间的能力，她和好友克洛伊·普莱斯一起调查同学瑞秋·安珀的失踪案，逐渐揭开了阿卡迪亚湾小镇的黑暗秘密，最后必须在拯救好友和拯救小镇之间做出选择。,故事完成,5.0
case-144,暴雨,游戏,游戏《暴雨》,Quantic Dream,欧美,2010年,已破案,一个名叫'折纸杀手'的连环杀手在雨中绑架男孩，将他们淹死。四个主角（失去儿子的父亲、FBI探员、私家侦探、记者）从不同角度调查此案，最后发现真凶是其中一个主角。,故事完成,5.0
case-148,福尔摩斯：罪与罚,游戏,游戏《福尔摩斯：罪与罚》,Frogwares,欧美,2014年,已破案,玩家扮演夏洛克·福尔摩斯，调查6个独立的案件。每个案件都有多个嫌疑人，玩家需要收集证据、进行推理，最后决定谁是真凶——但游戏的核心理念是：正义并不总是等于法律，玩家可以选择放过或惩罚真凶。,故事完成,5.0
case-147,行尸走肉（第一季）,游戏,游戏《行尸走肉》,Telltale Games,欧美,2012年,已破案,僵尸末日爆发后，被判谋杀罪的李·埃弗雷特遇到了一个名叫克莱曼婷的小女孩，他带着她在僵尸横行的世界中求生，在旅途中遇到了各种幸存者，必须在道德困境中做出艰难的选择。,故事完成,5.0
case-143,黑色洛城,游戏,游戏《黑色洛城》,Team Bondi,欧美,2011年,已破案,1947年的洛杉矶，退伍军人科尔·菲尔普斯成为一名警察，他在调查一系列案件（包括著名的黑色大丽花案）的过程中，逐渐揭开了洛杉矶警界和政界的腐败黑幕。,故事完成,5.0
case-052,底特律：变人,游戏,底特律：变人,,法国,当代（1980后）,已破案,2038年底特律，三个仿生人主角的命运交织，玩家的每个选择都影响故事走向和多结局。,待录入,3.7
heavy-rain,暴雨,游戏,,,法国,2010,已完结,折纸杀手绑架男孩，四个角色的命运交织，玩家的选择决定结局。,初稿,3
case-046,极乐迪斯科,游戏,极乐迪斯科（Disco Elysium）,,爱沙尼亚,当代（1980后）,已破案,一个失忆的警探在一个充满政治和阶级矛盾的城市中调查一起绞杀案，同时寻找自己的身份。,待录入,4.7
case-055,Among Us,游戏,Among Us,,美国,当代（1980后）,虚构结局,太空飞船上的社交推理游戏，船员完成任务，内鬼暗中破坏，通过讨论投票找出内鬼。,待录入,4.7
case-056,传送门2,游戏,传送门2,,美国,当代（1980后）,已破案,在光圈科技的废弃实验室中，用传送门枪解开空间谜题，与疯狂AI GLaDOS斗智斗勇。,待录入,4.2
la-noire,黑色洛城,游戏,,,美国,2011,已完结,1940年代洛杉矶的警探生涯，通过审讯和调查破解多起案件。,初稿,3
alan-wake,心灵杀手,游戏,,,芬兰,2010,已完结,作家在小镇寻找失踪妻子，发现自己写的恐怖小说正在变成现实。,初稿,3
case-053,黑镜：潘达斯奈基,游戏,黑镜：潘达斯奈基,,英国,当代（1980后）,已破案,1984年，年轻程序员将一本奇幻小说改编成电子游戏，现实与虚构的边界逐渐模糊。,待录入,4.3
case-030,Hello Kitty藏尸案,真实案件,Hello Kitty藏尸案,,中国,当代（1980后）,已破案,1999年香港，夜总会女公关被绑架虐待致死，头颅被藏在Hello Kitty玩偶中，案件震惊香港。,待录入,3.5
case-110,东北二王案,真实案件,1983年中国东北持枪杀人案,,中国,20世纪80年代,已破案,1983年辽宁沈阳王氏兄弟（王宗坊、王宗玮）持枪杀人后潜逃，横跨多省作案，造成9死9伤，最终在江西广昌被警方击毙，促成中国第一次严打。,故事完成,3.0
case-026,南大碎尸案,真实案件,南大碎尸案,,中国,近现代（1900-1980）,悬案,1996年南京，南京大学女生刁爱青失踪后被发现尸体被切成2000多片，案件至今未破。,待录入,4.2
case-114,呼兰大侠案,真实案件,1980年代黑龙江呼兰传奇案件,,中国,20世纪80年代,悬案,1980年代黑龙江呼兰县，一名被称为'呼兰大侠'的人 allegedly 杀害多名警察和法官，案件至今未破，成为中国民间传说中的传奇案件。,故事完成,4.7
case-032,宝马山双尸案,真实案件,宝马山双尸案,,中国,近现代（1900-1980）,已破案,1985年香港，一对英国籍情侣在宝马山被多名青少年殴打致死，案件成为香港最严重的青少年犯罪案件之一。,待录入,3.2
case-112,张子强案,真实案件,1990年代中国香港世纪大盗,,中国,20世纪90年代,已破案,张子强是香港犯罪集团首脑，策划抢劫金铺、绑架李嘉诚长子等大案，涉案金额超20亿港元，1998年在大陆被判处死刑。,故事完成,3.7
case-109,朱令案,真实案件,1994年清华大学铊中毒案,,中国,20世纪90年代,悬案,1994年清华大学女生朱令离奇铊中毒，警方调查后锁定其室友为嫌疑人，但因证据不足和各种争议，案件至今未破，成为中国最著名的悬案之一。,故事完成,5.0
case-111,白宝山案,真实案件,1996-1997年中国特大持枪杀人案,,中国,20世纪90年代,已破案,白宝山是中国刑侦史上最臭名昭著的杀人犯之一，1996-1997年在北京、河北、新疆等地持枪杀害15人（包括5名警察），抢劫140余万元，1997年被逮捕，1998年被执行死刑。,故事完成,4.0
case-025,白银连环杀人案,真实案件,白银连环杀人案,,中国,当代（1980后）,已破案,1988-2002年甘肃白银，连环杀手高承勇杀害11名女性，手段极其残忍，28年后因DNA技术破案。,待录入,4.2
case-115,聂树斌案,真实案件,1994年河北石家庄强奸杀人案/冤案,,中国,20世纪90年代,已平反,1994年河北石家庄，聂树斌被指控强奸杀害一名女工，1995年被执行死刑。2005年真凶王书金自认其罪，经过多年申诉，2016年聂树斌被改判无罪，成为中国最著名的冤案之一。,故事完成,5.0
case-031,雨夜屠夫,真实案件,雨夜屠夫案,,中国,近现代（1900-1980）,已破案,1982年香港，出租车司机林过云在雨夜杀害4名女性，拍摄尸体照片并肢解，成为香港首位连环杀手。,待录入,4.0
case-113,龙治民案,真实案件,1985年陕西商洛连环杀人案,,中国,20世纪80年代,已破案,龙治民夫妇在陕西商洛家中杀害48人，是新中国成立以来最大的个人凶杀案，1985年被发现，龙治民夫妇被判处死刑。,故事完成,3.3
case-029,迪亚特洛夫事件,真实案件,迪亚特洛夫事件,,俄罗斯,近现代（1900-1980）,悬案,1959年苏联乌拉尔山脉，9名滑雪登山者在神秘情况下死亡，帐篷从内部被割开，死者衣着怪异，至今原因成谜。,待录入,4.3
case-024,三亿日元抢劫案,真实案件,三亿日元抢劫案,,日本,近现代（1900-1980）,悬案,1968年日本东京，一名伪装成警察的男子拦下运钞车，以'车上有炸弹'为由骗走3亿日元，成为日本历史上最大的悬案之一。,待录入,4.3
case-106,宫崎勤事件,真实案件,1988-1989年东京连环女童谋杀案,,日本,20世纪80年代,已破案,宫崎勤在1988-1989年间绑架杀害4名4-7岁女童，进行猥亵和分尸，还向受害者家属寄恐吓信，1989年被捕，2008年被绞刑处决。,故事完成,3.0
case-104,帝银事件,真实案件,1948年东京银行毒杀抢劫案,,日本,20世纪40年代,已破案（争议）,1948年东京帝国银行椎名町分行，一名男子冒充防疫人员毒杀12名银行职员并抢走现金。画家平泽贞通被定罪，但案件至今有争议。,故事完成,4.3
case-105,格力高·森永事件,真实案件,1984年日本食品企业恐吓案,,日本,20世纪80年代,悬案,1984年日本格力高公司社长被绑架，随后一系列食品企业收到恐吓信和氰化物污染食品，凶手自称'怪人二十一面相'，1985年宣布停止活动，案件至今未破。,故事完成,4.7
case-107,神户儿童连续杀害事件,真实案件,1997年神户酒鬼蔷薇圣斗事件,,日本,20世纪90年代,已破案,1997年神户市一名14岁少年自称'酒鬼蔷薇圣斗'，杀害两名儿童并将一名男孩的头颅挂在学校门口，还向媒体寄挑衅信，引发日本社会对少年犯罪的巨大震动。,故事完成,3.7
case-108,秋叶原杀人事件,真实案件,2008年东京秋叶原随机杀人案,,日本,21世纪初,已破案,2008年东京秋叶原，25岁的加藤智大驾驶卡车冲撞行人后下车持刀随机杀人，造成7死10伤，2011年被绞刑处决。,故事完成,3.0
case-096,BTK杀手案,真实案件,1974-1991年堪萨斯州连环杀手,,欧美,20世纪70-90年代,已破案,丹尼斯·雷德犯下10起谋杀，自称BTK（捆绑折磨杀害），写信挑衅媒体，停手13年后因软盘元数据被捕，被判10个连续终身监禁。,故事完成,3.7
case-101,乔恩·贝内特·拉姆齐案,真实案件,1996年科罗拉多州选美小皇后谋杀案,,欧美,20世纪90年代,悬案,6岁的选美小皇后乔恩·贝内特在自家地下室被发现死亡，现场有绑架勒索信，父母成为主要嫌疑人，2008年DNA排除父母嫌疑，案件至今未破。,故事完成,5.0
case-095,山姆之子案,真实案件,1976-1977年纽约连环枪击案,,欧美,20世纪70年代,已破案,大卫·伯科威茨在纽约犯下6起谋杀，自称'山姆之子'，声称被邻居的狗驱使，1977年因停车罚单被捕，被判365年监禁。,故事完成,3.7
case-099,杰弗里·达默案,真实案件,1978-1991年密尔沃基食人魔,,欧美,20世纪70-90年代,已破案,达默杀害17名年轻男性，进行奸尸、肢解和食人，把人头保存在冰箱里，1991年幸存者逃出后被捕，1994年被囚犯打死。,故事完成,3.7
case-094,林德伯格绑架案,真实案件,1932年美国世纪犯罪,,欧美,20世纪30年代,已破案（争议）,1932年著名飞行员林德伯格的20个月大儿子被绑架，支付赎金后孩子尸体在附近树林被发现。此案被称为'世纪犯罪'，导致联邦绑架法通过。,故事完成,3.7
case-100,理查德·拉米雷斯案,真实案件,1984-1985年夜行者,,欧美,20世纪80年代,已破案,拉米雷斯自称'夜行者'，崇拜撒旦，在洛杉矶犯下13起谋杀，随机选择受害者，1985年被市民认出围捕，2013年病死狱中。,故事完成,3.7
case-098,约翰·韦恩·盖西案,真实案件,1972-1978年伊利诺伊州连环杀手,,欧美,20世纪70年代,已破案,盖西是建筑承包商和'小丑波戈'，在家中强奸杀害至少33名年轻男性，尸体埋在爬行空间，1994年被注射死刑。,故事完成,3.7
case-097,绿河杀手案,真实案件,1982-1998年华盛顿州连环杀手,,欧美,20世纪80-90年代,已破案,加里·里奇韦杀害至少49名女性（主要是妓女），将尸体丢弃在绿河附近，2001年DNA比对被捕，认罪换免死，被判49个连续终身监禁。,故事完成,3.3
case-102,肯尼迪遇刺案,真实案件,1963年达拉斯总统遇刺,,欧美,20世纪60年代,已破案（争议）,1963年11月22日美国总统肯尼迪在达拉斯遇刺身亡。官方结论是李·哈维·奥斯瓦尔德单独作案，但他两天后被杰克·鲁比枪杀，案件至今充满阴谋论。,故事完成,5.0
case-093,莉齐·博登案,真实案件,1892年美国福尔里弗斧头谋杀案,,欧美,19世纪末,已破案（争议）,1892年富有的博登夫妇被斧头砍死在家中，女儿莉齐成为主要嫌疑人，最终被判无罪，但多数人认为她就是凶手。,故事完成,3.7
case-116,辛普森杀妻案,真实案件,1994年美国橄榄球明星杀妻案,,欧美,20世纪90年代,已宣判（无罪）,1994年美国橄榄球明星O.J.辛普森被指控杀害前妻妮可·布朗和她的朋友罗恩·戈德曼，经过长达9个月的'世纪审判'，陪审团裁定辛普森无罪，案件成为美国司法史上最具争议的案件之一。,故事完成,5.0
case-103,阿曼达·诺克斯案,真实案件,2007年意大利佩鲁贾留学生谋杀案,,欧美,21世纪初,已平反,美国留学生阿曼达·诺克斯在意大利被指控与男友和另一男子合谋杀害室友梅雷迪思·克尔彻，被判26年后上诉无罪释放，2015年最终平反。,故事完成,4.3
case-117,黑色大丽花案,真实案件,1947年洛杉矶悬案,,欧美,20世纪40年代,悬案,1947年洛杉矶，22岁女演员伊丽莎白·肖特被残忍杀害并分尸，尸体被摆成怪异姿势，凶手还向媒体寄信自称'黑色大丽花复仇者'，案件至今未破，成为美国最著名的悬案之一。,故事完成,5.0
case-021,十二宫杀手,真实案件,十二宫杀手案,,美国,近现代（1900-1980）,悬案,1960-70年代旧金山湾区，自称'十二宫'的连环杀手犯下多起谋杀，寄来密码信挑衅警方，至今身份成谜。,待录入,4.5
son-of-sam,山姆之子,真实案件,,,美国,1976-1977,已完结,"纽约的连环杀手专杀情侣，自称""山姆之子""，被捕后声称被邻居的狗命令杀人。",初稿,2
jeffrey-dahmer,杰夫瑞·达莫,真实案件,,,美国,1978-1991,已完结,"""密尔沃基食人魔""在公寓中杀害17名男性，保存尸体部位并尝试制造僵尸。",初稿,2
lindbergh-kidnapping,林德伯格绑架案,真实案件,,,美国,1932,已完结,飞行英雄林德伯格的幼子被绑架勒索，尸体在两个月后被发现，案件改变了美国法律。,初稿,3
case-022,泰德·邦迪,真实案件,泰德·邦迪连环杀人案,,美国,近现代（1900-1980）,已破案,外表英俊迷人的法律系学生泰德·邦迪，在1970年代美国多地奸杀数十名年轻女性，最终被处决。,待录入,4.3
john-wayne-gacy,约翰·韦恩·盖西,真实案件,,,美国,1972-1978,已完结,"""小丑杀手""在自家地下空间埋葬33具男孩尸体，表面上却是成功的商人和社区名人。",初稿,2
lizzie-borden,莉齐·博登案,真实案件,,,美国,1892,已完结,马萨诸塞州的父女被斧头砍死，女儿莉齐成为主要嫌疑人，最终被判无罪。,初稿,3
case-027,蓝可儿事件,真实案件,蓝可儿死亡事件,,美国,当代（1980后）,悬案,2013年洛杉矶，加拿大华裔女生蓝可儿在塞西尔酒店电梯中行为诡异，后被发现死在酒店屋顶水箱中。,待录入,4.2
case-023,辛普森杀妻案,真实案件,O.J.辛普森杀妻案,,美国,当代（1980后）,已破案,橄榄球明星O.J.辛普森被指控杀害前妻及其男友，世纪审判中因证据程序问题被判无罪，成为美国司法史上最具争议的案件。,待录入,4.3
case-020,黑色大丽花,真实案件,黑色大丽花惨案,,美国,近现代（1900-1980）,悬案,"1947年洛杉矶， aspiring actress Elizabeth Short was found brutally murdered, body cut in half and posed, case remains unsolved.",待录入,4.3
case-050,开膛手杰克,真实案件,开膛手杰克案,,英国,近现代（1900-1980）,悬案,1888年伦敦白教堂区，连环杀手杀害至少5名妓女，寄来挑衅信件，身份至今成谜，成为史上最著名悬案。,待录入,4.3
case-033,玛德琳·麦卡恩失踪案,真实案件,玛德琳·麦卡恩失踪案,,葡萄牙,当代（1980后）,悬案,2007年葡萄牙，3岁英国女孩玛德琳·麦卡恩在度假公寓失踪，成为全球最受关注的失踪案之一。,待录入,4.3
case-028,华城连环杀人案,真实案件,华城连环杀人案,,韩国,近现代（1900-1980）,已破案,1986-1991年韩国华城，10名女性被杀害，33年后通过DNA技术锁定凶手，改编为电影《杀人回忆》。,待录入,4.3
lee-hyung-ho,李亨浩诱拐事件,真实案件,,,韩国,1991,已完结,9岁男孩在楼下被诱拐，父母收到87通勒索电话，44天后尸体在江边被发现。,初稿,3
frog-boys,青蛙少年失踪案,真实案件,,,韩国,1991,已完结,五名小学生上山抓青蛙后失踪，11年后尸体在山上被发现，案件至今未破。,初稿,3
